ID,song,artist,track_length,track_popularity,valence,danceability,energy,loudness,tempo
7F9cT6hIRhnFCYP6GKS0tf,IMY2 (with Kid Cudi),Drake,252378,68,0.0498,0.59,0.493,-8.704,150.026
1PDP7mLiAMwhfmgIwzhOm2,Yebba’s Heartbreak,Drake,133762,81,0.0908,0.476,0.161,-11.665,119.614
5ScbulRnixQ2XAdvrPMFjz,Get Along Better,Drake,229303,71,0.338,0.32,0.466,-6.77,177.693
50ceCGZ3oD3U5caQV5bP6f,You Only Live Twice (with Lil Wayne & Rick Ross),Drake,213103,66,0.711,0.519,0.851,-6.001,123.823
7uQZVznj0uQOGC9KhV2Mg6,LALISA,LISA,200689,75,0.85,0.806,0.653,-6.283,150.058
08XWh5c0BMyD1nKVxxl91z,Fountains (with Tems),Drake,192417,74,0.689,0.843,0.485,-8.735,100.053
6LnIxE8CqkK7faQV76nEHS,Single Saturday Night,Cole Swindell,189960,66,0.653,0.634,0.786,-5.093,82.003
0Iuw6WPws324i7G7sCejTX,We Didn't Have Much,Justin Moore,174837,66,0.578,0.469,0.673,-8.015,175.954
6d8HN8MqqbqrEUI2bvx0aG,Jail,Kanye West,297000,66,0.586,0.458,0.571,-6.739,110.013
1cCXT1cErAY6tmIqHbodrt,The Remorse,Drake,351220,61,0.637,0.473,0.53,-8.506,74.732
5LuXsO34x6KVlL8OWsxRqk,Ok Ok,Kanye West,204629,59,0.283,0.738,0.471,-9.208,107.98
1jgcODbfAL3tV7tikF6n1j,Junya,Kanye West,147668,60,0.396,0.752,0.69,-3.948,148.07
0JuSGEldfovcc8IS9va1wa,Believe What I Say,Kanye West,242400,67,0.416,0.595,0.656,-7.868,99.811
35acXjupfWHgtchiS6yAjC,Jonah,Kanye West,195170,60,0.128,0.459,0.431,-8.375,177.3
1LwdWIbfuqlOo8vlHxkyna,Jesus Lord,Kanye West,538536,59,0.113,0.477,0.713,-6.805,106.137
40uMIn2zJLAQhNXghRjBed,Motley Crew,Post Malone,184213,76,0.288,0.797,0.631,-3.818,129.915
45N9i9QraLWD6GW7xBqxnx,Remote Control,Kanye West,198613,61,0.197,0.792,0.548,-7.079,110.105
5JaSg0AYyAMMLjyGGDrrCm,God Breathed,Kanye West,333461,57,0.0789,0.325,0.311,-7.481,92.744
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,Giveon,198370,82,0.543,0.449,0.465,-8.964,89.087
6IBcOGPsniK3Pso1wHIhew,Forever After All,Luke Combs,232533,81,0.456,0.487,0.65,-5.195,151.964
2Y40huo5ewaKYxsFintYtF,Heaven and Hell,Kanye West,145301,64,0.268,0.764,0.422,-7.265,82.986
68RhNM8ehkarnEKnCkqlsp,24,Kanye West,197898,62,0.343,0.386,0.534,-6.086,110.057
5aqUqSq0SqGBAqEn27PEzc,Pure Souls,Kanye West,358621,64,0.256,0.381,0.528,-6.997,97.207
3hd6zLhnTlbJ8PupYt3cAI,No Child Left Behind,Kanye West,178061,65,0.0815,0.161,0.327,-8.059,135.382
4jkwu5KQbXXrbAZzVmt5fE,Donda,Kanye West,128313,54,0.428,0.534,0.491,-7.945,105.989
7EagormFign5ag6f16ua3I,Keep My Spirit Alive,Kanye West,221250,58,0.087,0.513,0.644,-6.387,166.35
2H8jWuNmluerTEsuh8Gu6y,Jail pt 2,Kanye West,297000,58,0.686,0.7,0.572,-6.459,109.985
5RhFmJifQe83FpQ6ZFFTZ5,"I am not a woman, I'm a god",Halsey,176413,59,0.494,0.523,0.702,-6.74,179.992
75QktuEju5vz9lyXiLaUao,New Again,Kanye West,183296,62,0.263,0.67,0.675,-4.624,90.948
5Iq6pIudd4KfuxZqf8872b,Lord I Need You,Kanye West,162108,59,0.197,0.711,0.428,-7.274,83.036
5xvXeuxISyXJDRbZZf4uzd,Come to Life,Kanye West,310393,61,0.241,0.44,0.465,-6.592,126.937
4OfnDoi5VOPsXtwnofq6aL,Tell The Vision,Kanye West,104218,51,0.213,0.714,0.417,-11.085,144.064
6SRsiMl7w1USE4mFqrOhHC,brutal,Olivia Rodrigo,143746,81,0.28,0.672,0.526,-6.446,123.999
05bfbizlM5AX6Mf1RRyMho,AM Remix,Nio Garcia,261334,75,0.785,0.743,0.655,-5.015,172.031
21AJQhGZpujjZQXByZAXpr,REPEAT IT (with Gunna),Lil Tecca,190344,65,0.588,0.681,0.687,-7.612,108.641
1HsOTiVqdN7PB1zOS2bcsO,Matt Hardy 999 (feat. Juice WRLD),Trippie Redd,188025,65,0.404,0.672,0.654,-4.528,78.512
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,200040,92,0.334,0.514,0.73,-5.934,171.005
3oV2RVOmwdWdf9BmGS4Oad,Glad You Exist,Dan + Shay,144760,67,0.692,0.741,0.499,-8.035,103.96
1KMkcUvF7m3SDChDOa7i5L,WITHOUT YOU,The Kid LAROI,161384,78,0.467,0.662,0.413,-7.357,93.005
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Masked Wolf,132780,78,0.472,0.778,0.695,-6.865,149.996
18vXApRmJSgQ6wG2ll9AOg,RAPSTAR,Polo G,165925,82,0.437,0.789,0.536,-6.862,81.039
00KyYtT6NaXwbPecina5Pj,Famous Friends,Chris Young,166506,69,0.698,0.535,0.859,-2.922,102.008
0NmuYnjETG3u3qx0OmEJev,Lil Bit,Nelly,195962,70,0.41,0.707,0.689,-7.097,119.987
5zFglKYiknIxks8geR8rcL,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,227395,81,0.721,0.713,0.676,-5.483,99.048
