real_date_trends_songs,percent_change,NYT_vader,NYT_textblob,NYT_bert,NYT_flair
2/2/21,0.037421697,0.00878877,0.078272525,-0.193184673,-0.181488466
2/9/21,0.00985937,0.037435122,0.060133854,-0.089856697,-0.01989284
2/16/21,0.001140523,-0.032915244,0.05255957,-0.180287198,-0.143882004
2/23/21,-0.018167053,-0.116994475,0.069225892,-0.086556251,-0.061934203
3/2/21,0.017904643,-0.023742541,0.078071215,-0.037836145,0.034761818
3/9/21,0.039121208,-0.026171429,0.061639201,-0.099852221,-0.106979428
3/16/21,-0.004617817,-0.033152121,0.076540251,-0.098679422,-0.022509146
3/23/21,0.013452412,-0.016680628,0.08878876,-0.111636791,-0.081411709
3/30/21,0.005622115,-0.003725767,0.071481199,-0.115171466,0.018337439
4/6/21,0.021529795,-0.001597537,0.063343776,-0.194116806,-0.152017847
4/13/21,0.011697724,-0.093963043,0.076776892,-0.079963134,-0.020178843
4/20/21,-0.004617035,-0.001189189,0.054253268,-0.024270309,0.019313233
4/27/21,-0.004978325,0.05694472,0.066160363,-0.209514538,-0.232815693
5/4/21,0.025962282,0.040637705,0.089507226,-0.051558621,0.001376154
5/11/21,-0.01150685,0.020000629,0.091910425,-0.088666808,-0.157538691
5/18/21,-0.005095031,-0.071881319,0.069335607,-0.214220927,-0.105978279
5/25/21,0.009314078,0.055472327,0.088136461,-0.031175189,-0.058910086
6/1/21,0.006529447,0.033927211,0.102526388,0.085159792,0.075856075
6/8/21,-0.008027645,0.030073684,0.093889165,-0.066112201,-0.052142963
6/15/21,-0.035731966,0.088827473,0.107962068,-0.018577423,0.042950927
6/22/21,0.033216162,-0.009751572,0.073489426,-0.026020673,0.008891991
6/29/21,0.010133573,-0.023797297,0.047789429,-0.144706338,-0.097157388
7/6/21,0.002403488,-0.063177778,0.086944936,-0.02028187,0.061197429
7/13/21,-0.005255731,-0.004230857,0.08594697,0.010027798,0.00239399
7/20/21,0.010658399,0.038308824,0.067836543,-0.05884085,-0.042820109
7/27/21,-0.00360894,0.027165169,0.070641968,-0.285340573,-0.178426429
8/3/21,0.007754943,0.015184956,0.089565235,-0.067587391,-0.087071662
8/10/21,0.008640482,-0.004041718,0.083598337,-0.177307056,-0.118787921
8/17/21,-0.011255669,-0.060913014,0.055125511,-0.171450377,-0.036656258
8/24/21,0.009468691,-0.00132,0.075557243,-0.173421524,-0.089461358
8/31/21,-0.002451576,-0.022636111,0.07443589,-0.210465965,-0.119184182
9/7/21,-0.022000005,0.006382394,0.068685154,-0.006229598,0.132780967
9/14/21,-0.000660404,0.062839153,0.070470446,0.03940511,0.050798997
9/21/21,0.00612449,0.031425444,0.081850496,-0.01635415,-0.062176607
9/28/21,-0.013736925,0.027942405,0.054887028,-0.17473209,-0.173664581
10/5/21,0.012081592,0.003115698,0.062264154,-0.167660379,-0.089036672
10/12/21,0.015540834,0.007243902,0.086349338,-0.027984856,-0.082832898
10/19/21,0.01071446,0.026316279,0.091382894,-0.106796863,-0.079564886
10/26/21,0.00397939,-0.042996053,0.054797055,-0.09236582,-0.163630865
11/2/21,0.013994459,0.020443192,0.071575252,-0.042703353,-0.038895507
11/9/21,-0.006305763,-0.038868874,0.06830086,-0.135704505,-0.094611928
11/16/21,-0.013997255,0.023755102,0.086261782,-0.013216906,0.050183274
11/23/21,-0.020133332,0.022770621,0.074481746,-0.034117288,0.105060082
11/30/21,-0.009232483,0.088106731,0.109305363,-0.116493943,-0.067437492
12/7/21,0.038667548,0.059150676,0.10391821,-0.067146516,0.093199272
12/14/21,-0.017122649,0.048623529,0.076390851,-0.108109556,-0.079048427
12/21/21,0.002893099,0.041512977,0.07859102,-0.165962136,-0.123149265
12/28/21,0.026772304,-0.046021875,0.088267911,-0.108113407,-0.134867235
