real_date_trends_songs,percent_change,NYT_vader,NYT_textblob,NYT_bert,NYT_flair,whole_song_score,mean_by_sentence_song_score,mean_without_0_by_sentence_song_score,tb_whole_song,tb_song_by_sentence,tb_song_by_sentence_without_0,bert,flair
5/14/2019,-0.006923226,-0.007502793,0.085748055,-0.154442773,-0.096725453,0.310011,0.052117307,0.102177366,0.073276619,0.031683914,0.081319669,3.154734075,-0.018715735
5/21/2019,-0.00696913,0.054310303,0.088634253,-0.11400025,-0.133107621,0.318741,0.059058071,0.109420417,0.081092925,0.035741005,0.086368819,3.123083481,0.036225646
5/28/2019,-0.031055763,0.020687013,0.066144082,0.003727108,-0.021170024,0.252172,0.049451606,0.092873599,0.075053246,0.032529062,0.080238393,3.105139205,0.028012223
6/4/2019,0.044985479,-0.03508956,0.061832299,-0.071353552,-0.002256084,0.236157,0.043109406,0.079539136,0.06981944,0.032515865,0.076547641,3.090615668,0.058073454
6/11/2019,0.004050271,-0.032546951,0.075923625,-0.09994136,-0.003657999,0.27132,0.039159601,0.075968905,0.054973174,0.025107166,0.058210755,3.095474186,0.054716688
6/18/2019,0.023560647,-0.020403012,0.091953929,-0.037851825,-0.005296496,0.288691,0.052130253,0.087270374,0.053878736,0.028869396,0.064242858,3.118453414,0.141558179
6/25/2019,-0.004480082,-0.006972,0.059454439,-0.117185132,-0.00605905,0.315604,0.048886921,0.089370705,0.056489761,0.030121655,0.065948353,3.14734273,0.126624974
7/2/2019,0.011966368,0.067516766,0.061068588,-0.088343521,-0.010492399,0.371669,0.050063994,0.090729761,0.051494977,0.028523027,0.060763355,3.150129043,0.10943057
7/9/2019,0.014997422,0.031905233,0.088168961,-0.0275953,-0.014203923,0.333615,0.054392546,0.092421134,0.040941632,0.027641439,0.045073135,3.135924889,0.0611363
7/16/2019,-0.006548895,-0.047374211,0.061287969,-0.020850529,-0.013702752,0.311978,0.044858587,0.07843469,0.029418319,0.02347374,0.033527188,3.093280276,0.026094302
7/23/2019,0.00140664,0.03666125,0.067200389,-0.058216905,-0.014555286,0.311708,0.047889483,0.084723224,0.032332557,0.025304833,0.040564963,3.103769317,0.027012615
7/30/2019,-0.026710958,-0.113459394,0.071576308,-0.258468967,-0.0151799,0.286804,0.036909662,0.070486156,0.025853614,0.019343238,0.032674048,3.074800752,-0.051049447
8/6/2019,-0.007515757,-0.075883735,0.059035551,-0.006195616,0.01995526,0.348289,0.041582075,0.075886674,0.026587371,0.017624287,0.030736406,3.06038741,-0.138252873
8/13/2019,-0.015507604,-0.031391275,0.074731556,-0.081896278,-0.086217861,0.387597,0.035268931,0.07177189,0.016439871,0.012652119,0.019643058,3.038004393,-0.160658002
8/20/2019,-0.010032034,-0.016452667,0.084792729,-0.064975732,-0.006640103,0.222839,0.020843044,0.047957044,0.005432379,0.010594035,0.008219235,3.024346754,-0.162927127
8/27/2019,0.029328932,0.034305161,0.078258662,-0.097131879,-0.049042777,0.183063,0.01826745,0.043612183,0.011628495,0.008596841,0.019670195,3.037565531,-0.12496309
9/3/2019,0.014709603,-0.016091107,0.079260982,-0.08133463,-0.047300247,0.224942,0.022183145,0.052773806,0.02476175,0.017060425,0.035489246,3.077190997,-0.100971144
9/10/2019,0.015505784,0.052720161,0.075128979,-0.076171824,0.152774729,0.165847,0.023216379,0.045061375,0.024799412,0.018380399,0.034414146,3.034543949,-0.098649499
9/17/2019,-0.010560581,0.033053684,0.087655376,-0.106821119,-0.049804864,0.111542,0.004680299,0.025391071,0.006883347,0.007273067,0.014151231,3.02266788,-0.160457458
9/24/2019,-0.004281094,-0.013945902,0.06184291,0.045594341,0.072239265,0.092999,0.001992641,0.022014262,0.001634543,0.004426023,0.010760735,2.983521235,-0.178207372
10/1/2019,-0.009277211,-0.022,0.052201069,-0.040067319,-0.045846057,0.149202,0.012046379,0.034749441,0.02199325,0.013277351,0.034905071,3.013474617,-0.124667913
10/8/2019,0.009056707,0.010374713,0.035615777,-0.08272466,-0.13233742,0.071847,0.000502073,0.016174795,0.018500032,0.012845622,0.028653717,2.956760707,-0.221060278
10/15/2019,-0.001732897,0.012860571,0.082477141,-0.070846834,-0.040494686,0.193619,0.020951199,0.053124242,0.033574794,0.020956445,0.043736881,3.05180373,-0.146405866
10/22/2019,0.006968602,0.011409375,0.063407707,-0.132601895,-0.12994113,0.093873,0.010036346,0.033226919,0.039565016,0.019428028,0.047937415,3.01811536,-0.167483974
10/29/2019,0.014235378,-0.043836413,0.058924758,-0.136092006,-0.122327286,0.137142,0.019988189,0.047988251,0.049739942,0.023530014,0.056602488,3.041199957,-0.137484347
11/5/2019,0.012061598,0.003836095,0.050154673,-0.00152912,0.008698051,0.275293,0.038199473,0.098379468,0.07141522,0.028569478,0.081521592,3.18004017,-0.095451386
11/12/2019,0.01155691,-0.049027072,0.057917352,-0.181303689,-0.194270583,0.175111,0.034379177,0.076030245,0.071935243,0.031079821,0.081668573,3.115259614,-0.170825682
11/19/2019,-0.004637386,0.062072159,0.085678228,-0.167042962,-0.02127278,0.175987,0.035295034,0.073532657,0.080310439,0.034174369,0.091358144,3.105913294,-0.101865271
11/26/2019,0.006266708,0.038649432,0.080576534,-0.150802541,-0.033103788,0.195882,0.025887424,0.064593202,0.077164829,0.033005369,0.089078567,3.080135566,-0.103869627
12/3/2019,-0.001297516,0.057816149,0.073300266,-0.023852414,0.079208308,0.214194,0.035111035,0.078773686,0.083827514,0.034490812,0.096455574,3.127672775,-0.09739463
12/10/2019,0.004276466,0.007867284,0.07120705,-0.160171078,-0.163866155,0.219151,0.041881524,0.0990841,0.084272345,0.031701385,0.098830425,3.171663676,0.033927474
