date (day),average_score,date (week),average_score,date (month),average_score,date (year),average_score
2019-10-12,-0.07354875000000001,,,,,,
2019-10-13,0.011458715596330273,,,,,,
2019-10-14,-0.002800675675675674,,,,,,
2019-10-15,-0.003058857142857145,,,,,,
2019-10-16,0.019663013698630136,,,,,,
2019-10-17,0.025562755102040816,,,,,,
2019-10-18,-0.03747422680412371,,,,,,
2019-10-19,-0.06030344827586207,,,,,,
2019-10-20,0.08898828125,,,,,,
2019-10-21,-0.016148765432098762,,,,,,
2019-10-22,0.026123749999999994,,,,,,
2019-10-23,0.004405154639175261,,,,,,
2019-10-24,-0.04149411764705882,,,,,,
2019-10-25,-0.0036678756476683926,,,,,,
2019-10-26,0.0016518072289156652,,,,,,
2019-10-27,-0.13539,,,,,,
2019-10-28,-0.03942987804878049,,,,,,
2019-10-29,-0.021225543478260868,,,,,,
2019-10-30,-0.019946195652173915,,,,,,
2019-10-31,-0.017596410256410254,,,,,,
2019-11-01,-0.015684422110552765,,,,,,
2019-11-02,0.10282808988764044,,,,,,
2019-11-03,0.04277368421052632,,,,,,
2019-11-04,0.009637341772151899,,,,,,
2019-11-05,0.02617159763313609,,,,,,
2019-11-06,0.00968695652173913,,,,,,
2019-11-07,0.03905345622119815,,,,,,
2019-11-08,0.04334336734693878,,,,,,
2019-11-09,-0.0031806818181818134,,,,,,
2019-11-10,-0.02212,,,,,,
2019-11-11,-0.03221041666666666,,,,,,
2019-11-12,-0.04474696132596685,,,,,,
2019-11-13,0.06554469273743017,,,,,,
2019-11-14,-0.005716591928251123,,,,,,
2019-11-15,-0.013604040404040405,,,,,,
2019-11-16,-0.08682022471910113,,,,,,
2019-11-17,0.02475820895522388,,,,,,
2019-11-18,-0.031126666666666664,,,,,,
2019-11-19,0.06735397727272728,,,,,,
2019-11-20,0.011615384615384616,,,,,,
2019-11-21,0.06666457399103139,,,,,,
2019-11-22,0.019291005291005293,,,,,,
2019-11-23,0.040584146341463415,,,,,,
2019-11-24,-0.005296,,,,,,
2019-11-25,-0.006286666666666672,,,,,,
2019-11-26,0.0071948863636363625,,,,,,
2019-11-27,0.11151135135135135,,,,,,
2019-11-28,0.02925612244897959,,,,,,
2019-11-29,0.08634519230769232,,,,,,
2019-11-30,0.0069964912280701804,,,,,,
2019-12-01,-0.049537878787878784,,,,,,
2019-12-02,-0.05358571428571429,,,,,,
2019-12-03,0.05296149068322981,,,,,,
2019-12-04,-0.003284615384615384,,,,,,
2019-12-05,0.029257560975609758,,,,,,
2019-12-06,0.025270555555555553,,,,,,
2019-12-07,0.04963863636363637,,,,,,
2019-12-08,0.046056097560975603,,,,,,
2019-12-09,-0.05989319727891158,,,,,,
2019-12-10,0.012225308641975305,,,,,,
2019-12-11,-0.024114364640883974,,,,,,
2019-12-12,-0.013907729468599035,,,,,,
2019-12-13,0.06287167630057804,,,,,,
2019-12-14,-0.04505479452054793,,,,,,
2019-12-15,0.14640645161290322,,,,,,
2019-12-16,0.05671167883211679,,,,,,
2019-12-17,0.026743999999999997,,,,,,
2019-12-18,0.06958245614035087,,,,,,
2019-12-19,0.047757777777777774,,,,,,
2019-12-20,0.06420414507772021,,,,,,
2019-12-21,-0.13853026315789474,,,,,,
2019-12-22,-0.03251232876712329,,,,,,
2019-12-23,0.00699266666666667,,,,,,
2019-12-24,0.13413999999999998,,,,,,
2019-12-25,0.025607575757575753,,,,,,
2019-12-26,-0.014260952380952376,,,,,,
2019-12-27,0.0850051282051282,,,,,,
2019-12-28,-0.027305882352941173,,,,,,
2019-12-29,-0.03802333333333333,,,,,,
2019-12-30,-0.04517037037037036,,,,,,
2019-12-31,0.04277456140350878,,,,,,
2020-01-01,0.0001877777777777756,,,,,,
2020-01-02,0.041561290322580643,,,,,,
2020-01-03,-0.07698424242424243,,,,,,
2020-01-04,-0.18791060606060608,,,,,,
2020-01-05,-0.1278907894736842,,,,,,
2020-01-06,-0.06733499999999999,,,,,,
2020-01-07,-0.058041358024691354,,,,,,
2020-01-08,-0.04470680272108843,,,,,,
2020-01-09,-0.11210055865921788,,,,,,
2020-01-10,-0.0023704819277108433,,,,,,
2020-01-11,-0.17801075268817204,,,,,,
2020-01-12,0.0627159420289855,,,,,,
2020-01-13,0.010692258064516128,,,,,,
2020-01-14,0.055640935672514616,,,,,,
2020-01-15,-0.06195380434782609,,,,,,
2020-01-16,-0.007689898989898989,,,,,,
2020-01-17,-0.0255391959798995,,,,,,
2020-01-18,-0.06758529411764705,,,,,,
2020-01-19,0.01720263157894737,,,,,,
2020-01-20,-0.08762673267326733,,,,,,
2020-01-21,-0.016196022727272722,,,,,,
2020-01-22,0.006566298342541436,,,,,,
2020-01-23,-0.034664840182648406,,,,,,
2020-01-24,-0.012110112359550557,,,,,,
2020-01-25,-0.08304999999999998,,,,,,
2020-01-26,-6.336633663366298e-05,,,,,,
2020-01-27,-0.048663157894736846,,,,,,
2020-01-28,0.006255958549222798,,,,,,
2020-01-29,0.07026603773584905,,,,,,
2020-01-30,-0.00014293193717277626,,,,,,
2020-01-31,-0.04109668246445498,,,,,,
