real_date_trends_songs,vader_mean,vader_sum,vader_weighted_mean,vader_weighted_sum,textblob_mean,textblob_sum,textblob_weighted_mean,textblob_weighted_sum,date, value,day_of_week_x,change,percent_change,_merge,Open,High,Low,Close,Adj Close,Volume,day_of_week_y,change_VTI,percent_change_VTI,change_adj,percent_change_adj,nyt_vader_mean,nyt_vader_sum,nyt_textblob_mean,nyt_textblob_sum,whole_song_score,mean_by_sentence_song_score,mean_without_0_by_sentence_song_score,tb_whole_song,tb_song_by_sentence,tb_song_by_sentence_without_0
7/7/20,0.022876,0.5719,24.0198,600.495,0.029333333,0.733333333,19,475,7/10/20,26075.3,Friday,1059.75,0.04064191,both,159.169998,161.009995,158.429993,160.949997,153.83165,2391800,Friday,8.929993,0.055483027,8.535065,0.055483153,0.004923937,4.9781,0.084491805,85.42121466,0.304295876,0.057170729,0.10501782,0.080183392,0.036559582,0.098609879
7/14/20,0.003956,0.0989,37.653,941.325,0.008,0.2,8.2,205,7/17/20,26671.95,Friday,596.65,0.022369943,both,163.089996,163.509995,162.070007,163.190002,155.972565,2141100,Friday,2.240005,0.013726362,2.140915,0.013726228,-0.0460825,-44.2392,0.063960031,61.40162933,0.310268367,0.060653187,0.101418458,0.078570091,0.035389888,0.084805252
7/21/20,-0.02582381,-0.5423,-19.36785714,-406.725,0,0,0,0,7/24/20,26469.89,Friday,-202.06,-0.007633579,both,162.830002,163.399994,161.899994,162.690002,155.494705,2360800,Friday,-0.5,-0.00307333,-0.47786,-0.003073159,-0.033280375,-33.7463,0.069468393,70.44095074,0.210963636,0.053568567,0.085951976,0.064959143,0.034567532,0.08004267
7/28/20,0.013116,0.3279,21.5272,538.18,-0.016,-0.4,-9.2,-230,7/31/20,26428.32,Friday,-41.57,-0.001572934,both,165.539993,165.619995,162.960007,165.520004,158.199509,3159700,Friday,2.830002,0.017097643,2.704804,0.017097423,-0.011445842,-11.2856,0.076623709,75.55097741,0.253063636,0.055965393,0.09400606,0.089874763,0.038659285,0.103317869
8/4/20,-0.019208,-0.4802,-31.7116,-792.79,-0.012666667,-0.316666667,-5.166666667,-129.1666667,8/7/20,27433.48,Friday,1005.16,0.036639901,both,169.220001,169.949997,168.600006,169.800003,162.290222,2194200,Friday,4.279999,0.025206119,4.090713,0.025206158,-0.009373203,-9.1295,0.068902615,67.11114729,0.255460606,0.052226157,0.093085551,0.08027917,0.033626435,0.094726986
8/11/20,0.021068,0.5267,21.9844,549.61,-0.02,-0.5,6,150,8/14/20,27931.02,Friday,497.54,0.01781317,both,170.720001,171.300003,170.380005,170.979996,163.418015,2213900,Friday,1.179993,0.006901351,1.127793,0.006901277,-0.016778279,-16.3756,0.078310735,76.43127745,0.34009798,0.064045955,0.11730259,0.098112104,0.041172275,0.113819904
8/18/20,0.025468,0.6367,18.74132,468.533,-0.005833333,-0.145833333,-1.641666667,-41.04166667,8/21/20,27930.33,Friday,-0.69,-2.47E-05,both,171.539993,172.300003,171.410004,172.220001,164.603226,2284500,Friday,1.240005,0.007200122,1.185211,0.007200412,-0.005264768,-6.0071,0.089118812,101.6845646,0.326058586,0.062588148,0.113369765,0.108020487,0.045004521,0.12762618
8/25/20,-0.0136,-0.34,-5.44,-136,-0.016,-0.4,-6.4,-160,8/28/20,28653.87,Friday,723.54,0.025251039,both,177.179993,177.710007,176.539993,177.679993,169.821716,4163100,Friday,5.459992,0.030729357,5.21849,0.030729227,0.0270425,29.2059,0.074654401,80.62675293,0.251953,0.060466663,0.107980599,0.096592811,0.043531039,0.116375514
9/1/20,-0.04992,-1.248,-132.1716,-3304.29,-0.022545455,-0.563636364,-75.23030303,-1880.757576,9/4/20,28133.31,Friday,-520.56,-0.018503333,both,175.339996,176.139999,169.199997,173.449997,165.778793,4379900,Friday,-4.229996,-0.024387409,-4.042923,-0.024387456,-0.044375126,-43.887,0.082025759,81.12347583,0.215727,0.056868498,0.098684462,0.09417157,0.044187271,0.113101314
9/8/20,-0.0136,-0.34,-10.2,-255,0,0,0,0,9/11/20,27665.64,Friday,-467.67,-0.016904362,both,170.240005,170.559998,167.5,169.119995,161.640305,3407700,Friday,-4.330002,-0.025603135,-4.138488,-0.02560307,-0.026914819,-25.2461,0.079759965,74.81484712,0.287897,0.065847155,0.115786679,0.09699055,0.044249835,0.113909541
9/15/20,0.070644,1.7661,115.933,2898.325,0,0,0,0,9/18/20,27657.42,Friday,-8.22,-0.000297208,both,171.210007,171.210007,167.529999,169.089996,161.611664,3178000,Friday,-0.029999,-0.000177414,-0.028641,-0.000177221,-0.022719367,-24.4006,0.067280865,72.25964924,0.256231,0.055746302,0.101791513,0.090982901,0.042599509,0.105469904
9/22/20,0,0,10.0332,250.83,0,0,0,0,9/25/20,27173.96,Friday,-483.46,-0.017791297,both,163.779999,167.440002,163.529999,166.960007,160.230408,2986000,Friday,-2.129989,-0.01275748,-1.381256,-0.008620436,0.040970027,45.5177,0.06847725,76.07822472,0.208381,0.045188754,0.085547762,0.083790753,0.037851155,0.098328593
9/29/20,0,0,0,0,0,0,0,0,10/2/20,27682.81,Friday,508.85,0.018381443,both,168.649994,171.309998,168.229996,170.389999,163.522141,2325600,Friday,3.429992,0.020130243,3.291733,0.020130198,0.00400502,4.9462,0.073706197,91.02715307,0.24370102,0.050736232,0.095859047,0.086073521,0.039613182,0.105755356
10/6/20,0.036684,0.9171,120.723,3018.075,0.032,0.8,40,1000,10/9/20,28586.9,Friday,904.09,0.031626025,both,176.899994,177.630005,176.440002,177.320007,170.172821,2489200,Friday,6.930008,0.039081929,6.65068,0.039081917,0.007221776,8.6228,0.067998918,81.19070811,0.283509091,0.059454888,0.105046816,0.093027138,0.043725523,0.112479315
10/13/20,-0.0316,-0.79,-77.6858,-1942.145,-0.008,-0.2,-2,-50,10/16/20,28606.31,Friday,19.41,0.000678522,both,178.479996,179.309998,177.550003,177.550003,170.393524,1910200,Friday,0.229996,0.001295387,0.220703,0.001295255,0.017733567,20.234,0.06514978,74.33589906,0.201738776,0.046316391,0.087987691,0.08810171,0.039956708,0.106433884
10/20/20,0.084064,2.1016,37.13152,928.288,0.009454545,0.236363636,1.716363636,42.90909091,10/23/20,28335.57,Friday,-270.74,-0.009554775,both,176.809998,176.949997,175.460007,176.839996,169.712143,2412700,Friday,-0.710007,-0.004014968,-0.681381,-0.004014922,-0.012081485,-12.8547,0.062824956,66.84575311,0.221363265,0.055197666,0.09817527,0.101346347,0.046209262,0.121333623
10/27/20,0.022876,0.5719,32.0264,800.66,0.016,0.4,5.2,130,10/30/20,26501.6,Friday,-1833.97,-0.069202237,both,167.889999,168.75,165.020004,166.990005,160.259186,3990400,Friday,-9.849991,-0.058985512,-9.452957,-0.05898543,0.013698236,17.8625,0.092840345,121.0638094,0.2249,0.05641334,0.10198674,0.098010933,0.043926952,0.116121912
