date,close,adj_close,whole_song_vader,song_mean_by_sentence_vader,song_mean_by_sentence_without_0_vader,whole_song_textblob,song_by_sentence_without_0_textblob,song_bert,song_flair,,WEIGHTED_whole_song_score,WEIGHTED_mean_by_sentence_song_score,WEIGHTED_mean_without_0_by_sentence_song_score,WEIGHTED_tb_whole_song,WEIGHTED_tb_song_by_sentence,WEIGHTED_tb_song_by_sentence_without_0,WEIGHTED_bert,WEIGHTED_flair,,vader,textblob,textblob_full,vader_full
5/1/18,137.130005,125.495117,0.1964,0.045707223,0.075407374,0.067024353,0.074549758,3.05996714,-0.16867187,,0.232286771,0.048380073,0.081603461,0.072275986,0.02574935,0.079408979,3.340011865,-0.156115217,,1.239099489,1.137800813,1.02177117,1.05654717
5/8/18,140.570007,128.64328,0.189359,0.042075493,0.076653204,0.064918132,0.071442871,3.03713841,-0.206373543,,0.228613254,0.046955228,0.085872877,0.071738297,0.022887054,0.078458102,3.313051483,-0.214303999,,1.219405631,1.119860502,1.01929813,1.052746113
5/15/18,140.199997,128.304626,0.178611,0.039103586,0.07447049,0.06069054,0.066219074,3.055997289,-0.16131846,,0.232477787,0.045366517,0.086736272,0.070690107,0.020247894,0.076411754,3.312026578,-0.176067695,,1.145958317,1.115904114,1.016860554,1.050335071
5/22/18,140.600006,128.670715,0.225076,0.045777623,0.081690096,0.062210904,0.06701827,3.019691642,-0.209452026,,0.273871635,0.051864415,0.093573469,0.070815611,0.019680301,0.075878533,3.378571259,-0.220074059,,1.152995518,1.05908293,1.017385608,1.057937506
5/29/18,141.5,129.494385,0.193539,0.049836062,0.088865268,0.063425585,0.070977885,3.029115909,-0.211729457,,0.233135265,0.052535991,0.095551102,0.068499621,0.02244924,0.073892595,3.340343384,-0.23554402,,1.145112739,1.060129077,1.018466446,1.057984727
6/5/18,143.910004,131.699875,0.195703,0.050053427,0.090274928,0.054671053,0.061261808,3.077140707,-0.228035949,,0.27713548,0.059199219,0.108643552,0.067551683,0.022801177,0.075303428,3.394669072,-0.245356528,,1.125516311,1.082088682,1.017916413,1.060900175
6/12/18,144.149994,131.919495,0.187843,0.048740614,0.089737727,0.058368851,0.066280681,3.091377587,-0.148093246,,0.254503208,0.056528521,0.104792841,0.067768923,0.024635124,0.076906252,3.48319992,-0.129430986,,1.124724897,1.065451801,1.016281354,1.063344928
6/19/18,142.449997,130.916367,0.176795,0.05260208,0.092213542,0.055946282,0.062991942,3.094386599,-0.08056259,,0.24283826,0.060783075,0.108404031,0.064834303,0.025158728,0.07277458,3.461436804,-0.064973495,,1.143698886,1.068590123,1.016449322,1.067445593
6/26/18,140.429993,129.059875,0.200643,0.045773219,0.088463509,0.054597342,0.060268623,3.043553754,-0.095197719,,0.244894676,0.052299962,0.103139806,0.058139999,0.023624604,0.064967352,3.436382474,-0.10614271,,1.065734016,1.037226996,1.019858917,1.06109222
7/3/18,142.789993,131.228851,0.175379,0.040693355,0.073793289,0.04441639,0.051873449,3.034776239,-0.177757862,,0.210712542,0.045826948,0.086191753,0.045797776,0.017526362,0.054398991,3.410346083,-0.203673422,,1.049060195,1.057372863,1.016846801,1.05938856
7/10/18,144.699997,132.984207,0.322877778,0.048005066,0.092532023,0.044670903,0.05576102,3.077827124,-0.275925157,,0.342149908,0.047014692,0.091504536,0.043105276,0.01594115,0.052819644,3.361371082,-0.290769722,,1.041112382,1.047909632,1.018407475,1.064448888
7/17/18,144.839996,133.112823,0.286887,0.04659419,0.090330297,0.044747721,0.055302965,3.114697829,-0.239583651,,0.31445185,0.046671726,0.091019441,0.043526601,0.015689974,0.052819428,3.377022206,-0.250613061,,1.047472404,1.0529539,1.017278815,1.061750978
7/24/18,145.220001,133.462097,0.36631,0.059149266,0.11132796,0.04987799,0.059042252,3.147333629,-0.136444188,,0.400368729,0.060459001,0.115054982,0.048432856,0.017945327,0.057606867,3.471866375,-0.137207562,,1.031991586,1.044808333,1.022023242,1.072416527
7/31/18,146.270004,134.427109,0.403387,0.064042526,0.122384824,0.053126938,0.062708235,3.188332848,-0.081450855,,0.452839862,0.068311871,0.131643702,0.054401452,0.019291619,0.064209789,3.580734521,-0.08070804,,1.034433095,1.056997477,1.021066384,1.074643384
8/7/18,146.25,134.408676,0.463052,0.07278313,0.136891901,0.051967662,0.064600541,3.17198972,-0.094714997,,0.503285004,0.076518174,0.145541365,0.052061418,0.020656915,0.065117871,3.521578522,-0.089661811,,1.044580545,1.043862316,1.022415065,1.083102179
8/14/18,147.169998,135.254196,0.472079,0.071976687,0.133315539,0.051587079,0.06431501,3.161595222,-0.119162219,,0.537884169,0.079567087,0.147803363,0.049960351,0.021242229,0.061301187,3.580030964,-0.100433917,,1.064391553,1.090215843,1.022172951,1.086730005
8/21/18,148.679993,136.641922,0.383398,0.061649335,0.114171219,0.050894807,0.066214371,3.131371805,-0.150534071,,0.453163874,0.067431212,0.126778368,0.051586976,0.02296345,0.068028152,3.488243049,-0.125151931,,1.071827768,1.090288691,1.020427531,1.078474109
8/28/18,150.070007,137.919418,0.45988,0.076212115,0.143603408,0.066715505,0.081620065,3.209008411,-0.122960625,,0.511568136,0.081914334,0.154986807,0.067383627,0.031842959,0.083287337,3.587422709,-0.121402639,,1.155097464,1.161463463,1.037411667,1.092214997
9/4/18,148.580002,136.550049,0.368706,0.056113702,0.108802468,0.057060302,0.074781255,3.153010075,-0.09868854,,0.418459509,0.061130679,0.119619249,0.059025351,0.02725265,0.078400056,3.56319865,-0.091923057,,1.097947178,1.118108889,1.026155244,1.074855756
