song,artist,counter
Ride For You,Meek Mill Featuring Kehlani,"{'pray': 14, 'hot': 1, 'introduce': 1, 'relate': 1, 'remember': 1, 'listen': 1, 'hear': 1, 'many': 1}"
TSU,Drake,"{'new': 2, 'direct': 1, 'important': 1, 'got': 1, 'please': 1, 'write': 1, 'bright': 1, 'wide': 1, 'hard': 1, 'ask': 1, 'relax': 1, 'forget': 1, 'broken': 1, 'heard': 1}"
Love All,Drake Featuring JAY-Z,"{'pour': 4, 'sit': 2, 'lose': 1, 'long': 1, 'touched': 1, 'dangerous': 1, 'hard': 1, 'ugly': 1, 'destroy': 1, 'send': 1, 'live': 1, 'thank': 1, 'humble': 1, 'closest': 1, 'many': 1, 'understand': 1}"
No Where,YoungBoy Never Broke Again,"{'strong': 3, 'believe': 1, 'involve': 1, 'tried': 1, 'smashed': 1}"
On My Side,YoungBoy Never Broke Again,"{'lose': 4, 'big': 3, 'belong': 1, 'insane': 1, 'sane': 1, 'meaningless': 1, 'new': 1, 'woo': 1, 'protect': 1, 'pray': 1, 'remind': 1, 'foreign': 1, 'slimed': 1, 'slim': 1, 'ooh': 1}"
Things A Man Oughta Know,Lainey Wilson,"{'late': 2, 'hidden': 1}"
Hold Me Down,YoungBoy Never Broke Again,"{'explain': 3, 'fresh': 1, 'intelligent': 1, 'sit': 1, 'loyal': 1, 'confess': 1, 'ask': 1, 'early': 1, 'long': 1, 'amaze': 1}"
50 Shots,YoungBoy Never Broke Again,"{'bring': 3, 'dirty': 3, 'rid': 2, 'follow': 1, 'irrelevant': 1, 'depress': 1, 'ran': 1, 'loud': 1, 'muddy': 1, 'different': 1}"
Smoke Strong,YoungBoy Never Broke Again,"{'strong': 5, 'big': 2, 'heard': 1, 'long': 1, 'comfortable': 1, 'civic': 1, 'speak': 1, 'ask': 1}"
Break Or Make Me,YoungBoy Never Broke Again,"{'rid': 2, 'bring': 2, 'big': 2, 'please': 1, 'lose': 1, 'confiscate': 1, 'threaten': 1, 'woo': 1, 'live': 1, 'breathe': 1, 'succeed': 1, 'involved': 1}"
Sincerely,YoungBoy Never Broke Again,"{'ooh': 4, 'lose': 2, 'apologize': 2, 'ran': 2, 'mistreat': 2, 'decide': 2, 'woke': 1, 'choose': 1, 'sit': 1, 'foreign': 1, 'loud': 1, 'strong': 1, 'forget': 1}"
I Can't Take It Back,YoungBoy Never Broke Again,"{'rid': 2, 'admit': 2, 'remember': 1, 'ooh': 1, 'sure': 1, 'prepare': 1, 'madden': 1, 'earn': 1}"
Rumors,Lizzo Featuring Cardi B,"{'big': 2, 'loose': 2, 'realer': 2, 'ooh': 2, 'woo': 2, 'heard': 1, 'believe': 1, 'blew': 1, 'cleanse': 1, 'listen': 1, 'locked': 1, 'live': 1}"
Forgiato,YoungBoy Never Broke Again,"{'dirty': 6, 'told': 3, 'big': 2, 'long': 2, 'speak': 1, 'sure': 1, 'new': 1, 'prove': 1, 'swear': 1, 'pure': 1, 'evacuate': 1, 'strong': 1, 'understand': 1}"
Rich Shit,YoungBoy Never Broke Again,"{'late': 2, 'near': 1, 'got': 1, 'bring': 1}"
N 2 Deep,Drake Featuring Future,"{'spend': 2, 'dirtied': 1, 'tight': 1, 'adopt': 1, 'enjoy': 1, 'celebrate': 1, 'new': 1, 'met': 1}"
Baddest Thing,YoungBoy Never Broke Again,"{'ooh': 4, 'reap': 2, 'big': 2, 'swear': 1, 'ask': 1, 'breathe': 1}"
Pipe Down,Drake,"{'write': 5, 'ooh': 3, 'belong': 2, 'spend': 2, 'many': 2, 'believe': 2, 'belongs': 1, 'assume': 1, 'live': 1, 'alive': 1, 'listen': 1, 'some': 1, 'all': 1, 'sure': 1, 'remember': 1, 'communicate': 1}"
Papi's Home,Drake,"{'remember': 3, 'big': 3, 'apologize': 1, 'expect': 1, 'hear': 1, 'new': 1, 'sexy': 1, 'told': 1, 'tend': 1, 'weak': 1, 'bring': 1, 'happen': 1}"
Toxic Punk,YoungBoy Never Broke Again,"{'foreign': 4, 'ugly': 3, 'toxic': 3, 'woo': 2, 'pray': 1, 'sure': 1, 'strong': 1, 'sad': 1}"
Moon,Kanye West,"{'ooh': 3, 'early': 2, 'forget': 1, 'blessed': 1, 'weak': 1, 'late': 1, 'ashamed': 1}"
Wildest Dreams (Taylor's Version),Taylor Swift,"{'remember': 4, 'follow': 4}"
Arcade,Duncan Laurence,"{'losing': 5, 'lose': 3, 'carried': 2, 'broken': 1, 'afraid': 1, 'foreign': 1, 'please': 1, 'spend': 1, 'big': 1, 'many': 1}"
Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion,"{'new': 5, 'hear': 3, 'bury': 2, 'sorry': 1, 'considerate': 1, 'different': 1, 'hot': 1, 'ooh': 1, 'on': 1, 'imitate': 1, 'slim': 1, 'toxic': 1}"
Lonely,DaBaby X Lil Wayne,"{'big': 2, 'happen': 1, 'pulled': 1, 'fucked': 1, 'popped': 1, 'hot': 1, 'hear': 1}"
Dead Right Now,Lil Nas X,"{'forgive': 2, 'lend': 1, 'believe': 1}"
Tales Of Dominica,Lil Nas X,"{'live': 4, 'ooh': 3, 'woke': 2, 'become': 2, 'predictable': 2, 'angry': 2, 'grown': 1}"
One Of Me,Lil Nas X Featuring Elton John,"{'big': 3, 'suggest': 1, 'prove': 1, 'swear': 1, 'long': 1, 'honest': 1}"
Race My Mind,Drake,"{'please': 8, 'intoxicate': 5, 'plead': 2, 'pray': 2, 'hung': 1, 'ooh': 1, 'remember': 1, 'asleep': 1, 'got': 1, 'beg': 1, 'retrograde': 1, 'sure': 1, 'send': 1, 'suppose': 1, 'eat': 1, 'understand': 1}"
Lost In The Citadel,Lil Nas X,"{'realize': 3, 'happy': 2, 'seem': 2, 'sing': 1, 'remember': 1}"
Sun Goes Down,Lil Nas X,"{'send': 4, 'happy': 2, 'big': 1, 'prayed': 1, 'hard': 1, 'belong': 1, 'proud': 1}"
7am On Bridle Path,Drake,"{'new': 2, 'speak': 1, 'closed': 1, 'assume': 1, 'swear': 1, 'sing': 1, 'happen': 1, 'lose': 1, 'accept': 1, 'correct': 1, 'seem': 1, 'hot': 1, 'please': 1, 'believe': 1, 'digress': 1, 'loose': 1, 'frozen': 1, 'understand': 1}"
