song,artist,position,average,standard_deviation
Love Again,Dua Lipa,"{'2021-11-06': 66, '2021-10-30': 61, '2021-10-23': 47, '2021-10-16': 41, '2021-10-09': 57, '2021-10-02': 51, '2021-09-25': 55, '2021-09-18': 69, '2021-09-11': 66, '2021-09-04': 54, '2021-08-28': 58, '2021-08-21': 63, '2021-08-14': 65, '2021-08-07': 73, '2021-07-31': 89}",61,11.1594504
Whiskey And Rain,Michael Ray,"{'2021-11-06': 67, '2021-10-30': 81, '2021-10-23': 82, '2021-10-16': 97}",81.75,10.61543687
One Mississippi,Kane Brown,"{'2021-11-06': 68, '2021-10-30': 80, '2021-10-23': 78, '2021-10-16': 92, '2021-09-04': 73}",78.2,8.059776672
Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,{'2021-11-06': 69},69,0
Jugaste y Sufri,Eslabon Armado Featuring DannyLux,"{'2021-11-06': 70, '2021-10-30': 77, '2021-10-23': 69, '2021-10-16': 75}",72.75,3.34477204
Too Easy,Gunna & Future,"{'2021-11-06': 71, '2021-10-30': 71, '2021-10-23': 66, '2021-10-16': 59, '2021-10-09': 38}",61,12.31259518
Esta Danada,Ivan Cornejo,"{'2021-11-06': 72, '2021-10-30': 66, '2021-10-23': 61, '2021-10-16': 96}",73.75,13.42339376
Volvi,Aventura x Bad Bunny,"{'2021-11-06': 73, '2021-10-30': 75, '2021-10-23': 67, '2021-10-16': 73, '2021-10-09': 85, '2021-10-02': 75, '2021-09-25': 80, '2021-09-18': 77, '2021-09-11': 72, '2021-09-04': 55, '2021-08-28': 45, '2021-08-21': 22, '2021-08-14': 37}",64.30769231,18.13786781
Tequila Little Time,Jon Pardi,"{'2021-11-06': 74, '2021-10-30': 83, '2021-10-23': 86}",81,5.099019514
Whole Lotta Money,BIA Featuring Nicki Minaj,"{'2021-11-06': 75, '2021-10-30': 70, '2021-10-23': 59, '2021-10-16': 52, '2021-10-09': 52, '2021-10-02': 58, '2021-09-25': 61, '2021-09-18': 68, '2021-09-11': 60, '2021-09-04': 50, '2021-08-28': 49, '2021-08-21': 45, '2021-08-14': 43, '2021-08-07': 39, '2021-07-31': 30, '2021-07-24': 16}",51.6875,14.64034985
